repository,status,leaver,tfdd_date,tfdd_commit,tfValue
jwt/ruby-jwt,Surviving,PETER M. GOLDSTEIN,30/01/2014 00:00,2cb604a0f0b2b3df306b3d36e0f4ca7c0679dab5,3
kangax/fabric.js,Non-surviving,JURIY ZAYTSEV,01/03/2016 00:00,1324c73c2ec11c5533d2e1966cd45fe551cc21a1,1
kneath/kss,Non-surviving,KYLE NEATH,20/07/2014 00:00,93c7985bfe72a4955cfdede4da618a40d61b9012,1
KnpLabs/Gaufrette,Non-surviving,LESZEK PRABUCKI,04/06/2014 00:00,d985d7c2d528b9943122252fcc916178d1eaa4fb,2
KnpLabs/Gaufrette,Non-surviving,ANTOINE HERAULT,31/07/2012 00:00,e2382038d69dca517a3b8976a2de855da956ce12,2
KnpLabs/php-github-api,Surviving,JOSEPH BIELAWSKI,01/04/2013 00:00,8eafe2ec512a0cbcdf5accc85f6a8cf01df787a2,2
KnpLabs/php-github-api,Surviving,L3L0,21/07/2012 00:00,8ef3980867624d9fcc6e702d375eb158227d66c9,2
KnpLabs/snappy,Non-surviving,ANTOINE HERAULT,06/08/2011 00:00,d01e07a081ad94b4e1cdb980dc1415750145e64c,3
KnpLabs/snappy,Non-surviving,MATTHIEU BONTEMPS,11/03/2015 00:00,eda1b39cb06b3f9ac7b4423df4c115feccea1194,3
KnpLabs/snappy,Non-surviving,SHANE O'GRADY,17/05/2012 00:00,fa5cd10b90d098b9ce83140e8171c1f8ebac851b,3
kohana/kohana,Non-surviving,WOODY GILK,24/04/2014 00:00,6161b7b8fc0c9197a25225d5fba51857b5f71bea,1
leafo/scssphp,Surviving,LEAF CORCORAN,07/10/2013 00:00,bc9d6341855877b57741ebdfce7fa5a19ac593f5,1
less/less.js,Non-surviving,LUKE PAGE,17/02/2016 00:00,0b27e6063196312344d039abb14338820ee7347d,2
less/less.js,Non-surviving,ALEXIS SELLIER,30/04/2012 00:00,a2df119732b2b05c7cdfd228a245c4a17e15fcbc,2
lisa-lab/pylearn2,Non-surviving,IAN GOODFELLOW,05/08/2015 00:00,d2c2a5754649e154d3a9fd72290c8fc51269d501,4
lisa-lab/pylearn2,Non-surviving,DAVID WARDE-FARLEY,15/06/2015 00:00,40333b971bea1866a7cd83e0eb0f6eb6494d5adf,4
lisa-lab/pylearn2,Non-surviving,BART VAN MERRIENBOER,24/03/2015 00:00,0e2a12971dd3ed8b95b37dca24ea87e24232851a,4
lisa-lab/pylearn2,Non-surviving,JAE-MYOUNG YU,21/12/2014 00:00,89d49f9a76b3af070b840bb6bb5d6973c0a2b5e9,4
MacRuby/MacRuby,Non-surviving,ELOY DURAN,20/08/2011 00:00,6af3b3f7e283b1bcd4698db79000c547725362f7,2
MacRuby/MacRuby,Non-surviving,WATSON,05/07/2013 00:00,d1e47668d4345c78871f49b06849f3c7e4355943,2
mailboxer/mailboxer,Non-surviving,EDUARDO CASANOVA,02/08/2013 00:00,9dd5335ec574f18b5738725df576f3b2eff0784d,1
Marak/faker.js,Surviving,BRYAN DONOVAN,08/01/2013 00:00,19d0e99ebec18bab6047bf944c07fc472fd9773a,1
MarlinFirmware/Marlin,Surviving,DIRK EICHEL,30/03/2013 00:00,443aaa30bf5f66a91344331f3dee64cd44464a19,2
MarlinFirmware/Marlin,Surviving,MAIKSTOHN,15/07/2013 00:00,9da94c247afc8805e4edd467937fb894436f3172,2
maroslaw/rainyday.js,Non-surviving,MAROSLAW,28/10/2014 00:00,bcd1b37ad5cd9594a2bca6e37773d31ae2c22739,1
maximebf/php-debugbar,Non-surviving,MAXIMEBF,16/09/2014 00:00,0e8dd3e6fd42577b27e2aedb293022fdaab05539,1
mbebenita/Broadway,Non-surviving,MICHAEL BEBENITA,18/12/2014 00:00,22583c5eba2856f8c3612ebe76cd1c9f8d5cafd4,1
mbleigh/acts-as-taggable-on,Surviving,TOM-ERIC,01/06/2010 00:00,3cf609de1276a270b34e238d0699042921bb43e7,3
mbleigh/acts-as-taggable-on,Surviving,MICHAEL,31/03/2008 00:00,b150544799dd812a8ce2f961f4707047a1d78a5c,3
mbleigh/acts-as-taggable-on,Surviving,ARTEMK,05/04/2013 00:00,7ca87d1967929d91990e70edecf929ce304a7de7,3
mikel/mail,Non-surviving,MIKEL LINDSAAR,03/11/2014 00:00,ee79240a8ef6086107fbd731bc89847e4cd86a29,1
mileszs/wicked_pdf,Surviving,VASILIEV NIKITA,10/04/2013 00:00,16febd178f73ce0815f3f655b26c9f48ad606ae9,1
minimagick/minimagick,Surviving,HAMPTON CATLIN,04/07/2012 00:00,b10c8288a7175488765c40fd1ea7afc7b14adaf3,3
minimagick/minimagick,Surviving,LUCAS HILLS,20/12/2011 00:00,76320a7593ab3abb14846b10de10792288224d3b,3
minimagick/minimagick,Surviving,COREY JOHNSON,16/10/2012 00:00,9d9b3d4cc5ea32909b0fffd6d71f8c62ed20c4fe,3
mishoo/UglifyJS,Surviving,EMIL HESSLOW,04/02/2011 00:00,02d7a2f34781e959cb089fcfec4bf35ff1d12ad8,1
mochajs/mocha,Surviving,TJ HOLOWAYCHUK,16/05/2014 00:00,d8c4e472f0db2980a1316097919103e6155697ae,1
mofarrell/p2pvc,Non-surviving,MOFARRELL,11/02/2015 00:00,16086cf6837d882bd07de2fc0464d008e99e1e37,1
mojombo/god,Non-surviving,TOM WERNER,17/09/2012 00:00,8733f75a9d4e737e7286dd617f4a67272cb483d8,1
mongodb/mongo-python-driver,Surviving,MIKE DIROLF,29/09/2010 00:00,4087168bcb8af5bbc70bdc7efca3d223c6f29e31,1
mongodb/mongoid,Non-surviving,DURRAN JORDAN,22/02/2016 00:00,014fb3c54df2840d09f0d727ad6d24e1cbcf5241,1
mongomapper/mongomapper,Non-surviving,CHRIS HEALD,01/06/2015 00:00,2820274872ff710e1fba111d74694954be167a1f,2
mongomapper/mongomapper,Non-surviving,JOHN NUNEMAKER,18/06/2013 00:00,2cce2391283850a96ee06e9b82ee2c4dc020d340,2
MovingBlocks/Terasology,Surviving,IMMORTIUS,27/09/2015 00:00,90283c37346787518d787df0825d28a8ff326aed,1
mozilla/rr,Surviving,ANOLL,18/04/2012 00:00,e657eb2ab40e81c97f58bacd6b032cacc9f7e774,1
mozilla/togetherjs,Non-surviving,AARON DRUCK,06/12/2013 00:00,5d756a2d56ffef36b9f4fd9bd01db1d70c3e6228,1
MrRio/jsPDF,Surviving,DANIEL DOTSENKO,01/11/2012 00:00,c3974c93ded32cad93c226b8036a922b80b81f8b,1
mumble-voip/mumble,Surviving,THORVALD NATVIG,28/10/2012 00:00,f4da6252e6cc29bcb37a1e72126522b34a473933,1
mustache/mustache,Surviving,CHRIS WANSTRATH,11/11/2013 00:00,3fb5c6844fae84eb88ba2650eea9eee5ce58449d,1
NanoHttpd/nanohttpd,Surviving,PAUL HAWKE,12/05/2014 00:00,ab6feae737b3038532d057e87fd83c58bad3b3cc,1
nanomsg/nanomsg,Non-surviving,MARTIN SUSTRIK,27/11/2014 00:00,817333d63838e902c9edcd441e733a34cc781725,1
NaturalNode/natural,Non-surviving,CHRIS UMBEL,12/03/2016 00:00,f2601c3343a3a65875b66d0901243b49e77e22d5,4
NaturalNode/natural,Non-surviving,GUILLAUME MARTY,11/02/2014 00:00,157c704c800bf405a1f95c1527da084ae42d87c6,4
NaturalNode/natural,Non-surviving,VINCENT,11/05/2014 00:00,f794dd1dbeed7f8edee7be528503b00057c5293f,4
NaturalNode/natural,Non-surviving,KRISTOFFER BRABRAND,23/05/2014 00:00,d47cc23b2e5068b00801a78e1d4cd0856a5ef9fa,4
NetEase/pomelo,Non-surviving,CHARLIE CRANE,06/11/2014 00:00,00217d3cda9c893921519a63f00eb7a5d58c7c38,3
NetEase/pomelo,Non-surviving,PY,14/01/2016 00:00,e80be042d03e3f95e4938277effb6d0df53de5d1,3
NetEase/pomelo,Non-surviving,CHANGCHANG,20/06/2013 00:00,331a2c2d9424767c02ac873be2584f842bde4809,3
Netflix/eureka,Surviving,KARTHIK RANGANATHAN,19/11/2013 00:00,37d2a3d03cd19a8886c089f8a6b719bf226d34c3,2
Netflix/eureka,Surviving,BENJAMIN POLLACK,29/04/2014 00:00,8d49020b9b99b271e1c814f5d6aa4d9f8aba9690,2
Netflix/SimianArmy,Non-surviving,MICHAELF,19/07/2013 00:00,c7b1dcdf0709da5eee70ac5bb8dc1bd350a12c6f,2
Netflix/SimianArmy,Non-surviving,CORY BENNETT,30/10/2014 00:00,f7b8d89df12c26ffeb9d0e000f2a2cfc998210e7,2
newsapps/beeswithmachineguns,Surviving,CHRISTOPHER GROSKOPF,24/08/2012 00:00,a74f6ca2691bba51cd6984f6e8027587d9605c11,4
newsapps/beeswithmachineguns,Surviving,DEAN MALMGREN,27/04/2013 00:00,5ea3c4de5e8710cd47ff54e7ae095f9858aaf77e,4
newsapps/beeswithmachineguns,Surviving,CGROSKOPF,29/10/2010 00:00,46f60b10b973f1035982f3476df01cc307e2c21e,4
newsapps/beeswithmachineguns,Surviving,JEFF LARSON,27/10/2010 00:00,94f439c9b6812325357a4c5dc8ea6966c95abb03,4
NoamB/sorcery,Non-surviving,NOAM BEN ARI,25/08/2013 00:00,3a8a2ec16fbb8f103f44b69bb2ad38f4d2d147dd,1
node-inspector/node-inspector,Non-surviving,YURY PUZYNYA,08/04/2016 00:00,0faa1356d66fe25027ff12a9e5c7da0fd8ed9276,1
node-nock/nock,Non-surviving,PEDRO TEIXEIRA,13/04/2016 00:00,563fff1e507815a710adcdc292f5ecf1ea29f30d,1
nodejitsu/node-http-proxy,Non-surviving,YAWNT,28/01/2014 00:00,b60673522b2d9a1042ef44d7df686750e4e6879d,2
nodejitsu/node-http-proxy,Non-surviving,CRONOPIO,12/09/2014 00:00,554f59c5182d58b359df0159a29ff5ea35dd3830,2
nodejs/http-parser,Surviving,RYAN DAHL,13/12/2011 00:00,3cf68f9a7065325bfbc69917a16245579940c226,1
nodejs/node-gyp,Non-surviving,NATHAN RAJLICH,06/11/2015 00:00,8ef90348d176e7b46e83f6922b1f7458582ef5ee,1
norman/friendly_id,Non-surviving,NORMAN CLARKE,22/09/2015 00:00,8069fc9959215e5f4872927928b3b7a95e9beacd,1
novus/nvd3,Surviving,BOB MONTEVERDE,06/06/2013 00:00,065c8eb84d750c933d8fa884c78f9bd04bd36e3a,1
numba/numba,Surviving,MARK FLORISSON,02/12/2013 00:00,24271c3230808be36f6ebdb7a42ccf2f95dcab29,1
oclint/oclint,Non-surviving,LONGYI QI,11/07/2015 00:00,603daa8d239374908d217151be97e4e1793b20ab,1
oneclick/rubyinstaller,Non-surviving,LUIS LAVENA,31/12/2014 00:00,99ac277cff4f677c23c3671ecb720f42535e5b11,2
oneclick/rubyinstaller,Non-surviving,JON,31/05/2014 00:00,23a226f04aa4da149b1afda15c3d96eddc2920f3,2
opauth/opauth,Non-surviving,U-ZYN CHUA,16/11/2013 00:00,5baf6626d6a58cfa23183cba72a66fb75f19357a,1
OpenKinect/libfreenect,Surviving,ADITYA GADDAM,24/10/2011 00:00,87f61ea99db94c6976791bd695bc94d1e514f30f,4
OpenKinect/libfreenect,Surviving,JUAN CARLOS DEL VALLE,18/07/2011 00:00,a879f2112a85737099d2428aa0771bde472d1a3b,4
OpenKinect/libfreenect,Surviving,DREW FISHER,29/03/2012 00:00,16afaf845eabb75c9dd4c0d77ed3330f85027af6,4
OpenKinect/libfreenect,Surviving,BRANDYN A. WHITE,14/04/2011 00:00,c7d32d8e836c00d92e3777c251d0da0c586b6402,4
OpenRefine/OpenRefine,Non-surviving,DAVID HUYNH,14/03/2013 00:00,8fb450769b9d80b757c1c69cdd03f4e9a2b74ef5,1
pallets/click,Non-surviving,ARMIN RONACHER,25/03/2016 00:00,fa2d870bac0c481714222b7204564c5150e302f5,1
paramiko/paramiko,Non-surviving,ROBEY POINTER,23/05/2011 00:00,7bcbc2419812f87cf06391da61684df205f131d3,1
paypal/PayPal-PHP-SDK,Surviving,AYDIV,04/11/2013 00:00,caa71466fed0aa31172ef5fc8c4f0a7971c025bd,2
paypal/PayPal-PHP-SDK,Surviving,GANESH HEGDE,26/08/2013 00:00,1fb03acd27f25bf40a610759c322b8cf428cef79,2
pdfkit/pdfkit,Surviving,JARED PACE,16/03/2012 00:00,831ecc049b4a67afbe7c3938d44daefc9a7d0cbb,1
petergoldstein/dalli,Non-surviving,MIKE PERHAM,03/11/2014 00:00,c84a7cd8f878e42a8de648384b31a5dacfb4938f,1
php-amqplib/php-amqplib,Non-surviving,ALVARO VIDELA,02/02/2016 00:00,be12b402da68ddd5f405cb4aa36631b53e28e3e6,2
php-amqplib/php-amqplib,Non-surviving,KERNEL_X86,19/11/2014 00:00,1c4ae1c45d68be66e9e664d67d0cd72e91496f56,2
PHPOffice/PHPWord,Surviving,IVAN LANIN,30/06/2014 00:00,d8aef5c502e9ec980f93b1647489c30bf4fe73a6,1
phpredis/phpredis,Surviving,NICOLAS FAVRE-FELIX,14/12/2013 00:00,a77439a7cfcc9279747ea0167efe2bbf38428de1,1
pixie-lang/pixie,Non-surviving,TIMOTHY BALDRIDGE,07/10/2015 00:00,37fe04629f43d303d0fc4c3fa3cfd82a0ce17073,1
plataformatec/has_scope,Non-surviving,JOSE VALIM,21/07/2015 00:00,d16e855c5b732c9853f4760ebe8bed3c0969273e,1
plataformatec/responders,Non-surviving,JOSE VALIM,17/07/2015 00:00,f0e093d01e799d8b67952c013daf8808e9ea02db,1
pockethub/PocketHub,Non-surviving,KEVIN SAWICKI,09/04/2015 00:00,94f4fce286dde4678434993de73044a5faeaeb57,1
PointCloudLibrary/pcl,Non-surviving,RADU B. RUSU,22/03/2014 00:00,2b10c1d5725d25adbc75a3f1fe054bf2bce92d9d,6
PointCloudLibrary/pcl,Non-surviving,KOEN BUYS,18/03/2013 00:00,17099edb8735ec1ea7f6b57a4a2db259c1e0d338,6
PointCloudLibrary/pcl,Non-surviving,GEOFFREY BIGGS,18/05/2012 00:00,19de838d7fa714e159b3d086376098b51444c739,6
PointCloudLibrary/pcl,Non-surviving,ALEXANDRU EUGEN ICHIM,24/06/2015 00:00,e5a7e46e2eea43c06471855e90cddf6036979ad0,6
PointCloudLibrary/pcl,Non-surviving,NIZAR SALLEM,23/05/2014 00:00,df56b844f0fdb0cd7815889c27df16d4484c0ba6,6
PointCloudLibrary/pcl,Non-surviving,AITOR ALDOMA,13/11/2013 00:00,c199c37caaab8aee62bd371e777ff4e9afe356e0,6
postrank-labs/goliath,Non-surviving,DAN SINCLAIR,25/06/2015 00:00,6c41d0a4986e70a8a53b54d3cde713938eec82eb,2
postrank-labs/goliath,Non-surviving,PHILIP (FLIP) KROMER,09/08/2011 00:00,a91b4f7bc00f295cb54f42ee23d912df220d0906,2
prawnpdf/prawn,Non-surviving,FELIPE DORIA,15/08/2012 00:00,7cc912cd50efe35413eb9319b93956aa733628a1,2
prawnpdf/prawn,Non-surviving,GREGORY BROWN,02/09/2015 00:00,2f894ade8e6a97453a6a77fdf5c7400ca4dd7428,2
prolificinteractive/material-calendarview,Non-surviving,ADAM KOSKI,30/10/2015 00:00,f6e49ba2afe706d45e9336c6cbbcb41bd0456048,1
propelorm/Propel2,Non-surviving,FRANCOIS ZANINOTTO,30/07/2012 00:00,7649ef7ab64754f8a28bbe6d1fdff2c1761cf396,3
propelorm/Propel2,Non-surviving,WILLIAM DURAND,01/01/2015 00:00,a8f72b2094bc8359fe9d178f875531312200a9a4,3
propelorm/Propel2,Non-surviving,HUGO HAMON,10/09/2013 00:00,8e3b94cab196271f14616db89dbdd09c7a1edc15,3
PyCQA/pycodestyle,Non-surviving,FLORENT XICLUNA,18/12/2014 00:00,497f1db5d142ddb891504d2513d52c5f195c05ac,1
PyMySQL/PyMySQL,Surviving,PETE HUNT,25/07/2013 00:00,917365596b486e5b2e992b7080e4a75efe7273d8,2
PyMySQL/PyMySQL,Surviving,DAVID STORY,16/06/2009 00:00,07ae36e644cdca99eb5c2bbc5fbbf562512325a6,2
pypa/virtualenv,Non-surviving,IAN BICKING,04/05/2012 00:00,8dddd6845cfa9664e5ea4bf57ed9503f38a17fb9,1
python-visualization/folium,Surviving,ROB STORY,30/11/2014 00:00,eaaf17e35c9d365a5e557dc5b371ac355f87d7c4,1
qbittorrent/qBittorrent,Surviving,CHRISTOPHE DUMEZ,06/07/2013 00:00,7f7802680b4b9083368f7e9af3b2247d90b2011b,1
qiao/PathFinding.js,Non-surviving,XUEQIAO XU,11/08/2015 00:00,b9b86b574afeedcc48902c4747187d44c2edd456,1
react-bootstrap/react-bootstrap,Surviving,STEPHEN J. COLLINGS,19/11/2014 00:00,19e48257b2dc6c77cb73bed16a9ee15fead3577b,2
react-bootstrap/react-bootstrap,Surviving,PIETER VANDERWERFF,14/10/2014 00:00,5c72ab09dbad845f0b24d4e9441e2c053ba83671,2
react-dnd/react-dnd,Non-surviving,DAN ABRAMOV,08/04/2016 00:00,aff817fe69406d75c54b347b5209b99f0cf8764f,1
reactphp/react,Non-surviving,IGOR WIEDLER,10/12/2014 00:00,d1171fb5d7e1955950e2083376afd750d6bbe148,2
reactphp/react,Non-surviving,CHRIS BODEN,19/03/2015 00:00,fdcc9808ef9fafa8a61c119ba81d1630f3ee947a,2
redis-store/redis-store,Non-surviving,LUCA GUIDI,05/11/2013 00:00,f3c16080416a93df36eaa63a6a703409c968d250,1
redis/hiredis,Non-surviving,PIETER NOORDHUIS,29/05/2014 00:00,2602e1b6bc19dc191df0c50cd6502578fe492710,2
redis/hiredis,Non-surviving,ANTIREZ,28/04/2015 00:00,2fc39eb4c35ad6c66a1b832a81d1519dcf5fe856,2
redis/redis-rb,Non-surviving,PIETER NOORDHUIS,01/05/2014 00:00,813a4244c3ad5e90a05def03560f9f0445bfb89e,2
redis/redis-rb,Non-surviving,CYRIL DAVID,12/03/2012 00:00,619fe28104ebb08f88802bae4e9b99769c93f722,2
reflux/refluxjs,Non-surviving,MIKAEL BRASSMAN,17/11/2015 00:00,a3562e12ad5081f0a01d2fdaa7972131675a8d36,2
reflux/refluxjs,Non-surviving,KUNGD,26/11/2014 00:00,272d543e6503cc514875e612fec313b0dfdde3d5,2
remiprev/her,Non-surviving,REMI PREVOST,14/07/2015 00:00,1dc69ea9e9351cfc5ae1dd02dcf48abb5b81f006,1
resque/resque,Non-surviving,CHRIS WANSTRATH,08/11/2011 00:00,af5a9a8e501c3732100b4ec768f7b2a4ec2aec2e,2
resque/resque,Non-surviving,TONY ARCIERI,21/03/2013 00:00,58c0c6d460f9572126948a0d7405064129b22404,2
rest-client/rest-client,Surviving,JULIEN KIRCH,19/11/2011 00:00,2a32c7b3db297132afc03794dbdafe1fccaf1bd4,2
rest-client/rest-client,Surviving,ADAM WIGGINS,29/07/2009 00:00,c637668f2dbc23466df04c7dbeabf4ce40e4f7bf,2
restify/node-restify,Surviving,MARK CAVAGE,21/01/2015 00:00,b24d88b6bfbf2eeb2265a9d2f09149e1ca21af15,1
ricardochimal/taps,Non-surviving,"RICARDO CHIMAL, JR",14/02/2011 00:00,a465a75f0a05dafdd910f3f0809a1e3a19fb61c6,1
roidrage/lograge,Non-surviving,MATHIAS MEYER,20/08/2014 00:00,3c413d3bc613177143405d6e2e8ef9a8ced97875,3
roidrage/lograge,Non-surviving,MAXIMILIAN SCHULZ,06/08/2013 00:00,52f84d9007c85b8d86e5a0944556b2e6828513a3,3
roidrage/lograge,Non-surviving,ANDREAS TIEFENTHALER,15/11/2015 00:00,966e0d7a7c4a1a835496dc6f2ad48d1b975438e3,3
RolifyCommunity/rolify,Non-surviving,FLORENT MONBILLARD,03/07/2014 00:00,f2ad6cb43ee0656246d7012706dc64950dcec221,1
rspec/rspec-rails,Non-surviving,DAVID CHELIMSKY,22/05/2013 00:00,1362cad2c8ee7e38c8e1a1998ce9a1552db07020,2
rspec/rspec-rails,Non-surviving,AARON KROMER,03/08/2015 00:00,cb2dda87a1022e43166606e9334de05b816fe226,2
RubaXa/Sortable,Surviving,DAN DASCALESCU,27/09/2015 00:00,0ead812eec14f8a081758e028bc3c2f580bb3938,1
rubber/rubber,Non-surviving,MATT CONWAY,10/01/2014 00:00,c7e5cc419bf33fb5a4c9159a860f0118006e5171,1
ruby-prof/ruby-prof,Surviving,CHARLIE SAVAGE,15/08/2013 00:00,e1d1ba17e13f8ef5e24097034095ecc182d785e0,1
RubyMoney/money,Non-surviving,SHANE EMMONS,17/02/2016 00:00,eb968bebd67fba76e336221d2d8da30699e02129,3
RubyMoney/money,Non-surviving,SIMONE CARLETTI,28/06/2012 00:00,3e7261b257358e4f25daae22374f232ddc87a683,3
RubyMoney/money,Non-surviving,JELL,27/04/2011 00:00,2fc7b153eb43073680d77e9f98730d7a0a4d19f5,3
s3tools/s3cmd,Non-surviving,MICHAL LUDVIG,27/10/2014 00:00,39172600cf3440e3a68fac84c155e25596081ba3,1
savonrb/savon,Non-surviving,RUBIII,11/09/2013 00:00,91ff564787a368687a040bf9bb052a55cd9c88ff,1
schacon/ruby-git,Non-surviving,SCOTT CHACON,10/08/2009 00:00,053d49c8eb4e9cd5509b9d4fede8e2dd3adf9fa2,1
scottjehl/picturefill,Non-surviving,AFARKAS,14/02/2016 00:00,e7c768409ca2e01168439b125dc2303e457edc16,1
scribejava/scribejava,Surviving,PABLO FERNANDEZ,22/08/2015 00:00,0311a435fa492cbaa87f4e1c63395f33770d7d38,1
seajs/seajs,Non-surviving,LIFESINGER,19/05/2014 00:00,d1bcbc1e3f318af7484cffbe8b040e70f1471a5b,1
segmentio/metalsmith,Non-surviving,IAN STORM TAYLOR,24/09/2015 00:00,e1d6e93206e56a5a1394939da69d220db4c242bb,1
senchalabs/connect,Surviving,TJ HOLOWAYCHUK,03/12/2013 00:00,88c3792d0dc20496edfccd9f1f3832ecb6074ada,1
SFML/SFML,Non-surviving,LAURENTGOM,25/03/2015 00:00,3ca6e0f34698fdc5f1be73b3bbf3b3dbf7a4ea26,1
SheetJS/js-xlsx,Surviving,JOSH PETERSEN,03/06/2015 00:00,a345c332ac179885be239b8d6e05475570353b9e,1
shelljs/shelljs,Surviving,ARTUR ADIB,12/01/2016 00:00,ace162ae84f7dacb0b4ed912a5a303b48754c960,1
Shopify/identity_cache,Surviving,JOHN DUFF,12/03/2013 00:00,d73d2ea032cdb3063e890217d5b24433abd5db38,2
Shopify/identity_cache,Surviving,HARRY BRUNDAGE,13/12/2013 00:00,82ffb80cde3824817f5d43e9c887bd7ffe4f711a,2
showdownjs/showdown,Surviving,TITUS,11/08/2012 00:00,90e51e95cc147bba9657e47a837b73ed7cfc8384,1
Sigil-Ebook/Sigil,Surviving,JOHN SCHEMBER,14/06/2015 00:00,6677f9ff2f372a3df749dcbbb215638120d19983,3
Sigil-Ebook/Sigil,Surviving,STRAHINJA MARKOVIC,22/04/2011 00:00,2ac4c6934814978e7893ea8aade7f02e5cedae2f,3
Sigil-Ebook/Sigil,Surviving,DAVE HEILAND,03/06/2013 00:00,9aa7e284310b8590052237fd477503cc54eacda1,3
silexphp/Pimple,Non-surviving,JULIEN PAULI,30/07/2015 00:00,b29807d250cd18bff4e9a3560d8652869f61f2ef,1
silviomoreto/bootstrap-select,Surviving,T0XICCODE,24/02/2015 00:00,00d0203d4d0433bfa1862229a42527ccbe9c81f0,1
simplepie/simplepie,Non-surviving,GEOFFREY SNEDDON,08/08/2010 00:00,798f4674468316b8cc70fe8de73034c072dbdc15,1
sinatra/sinatra,Non-surviving,KONSTANTIN HAASE,13/04/2016 00:00,7a9ffccdafb71fef8d33c110d03ca0654dbb9316,1
SirVer/ultisnips,Non-surviving,HOLGER RAPP,05/12/2015 00:00,1b481f312e6e0ade4c330e61a098d71294e8b43f,1
soundcloud/lhm,Surviving,RANY KEDDO,17/02/2012 00:00,4dab545ea393c387e64328a3941e2f5232e0a944,1
soveran/cuba,Non-surviving,CYRIL DAVID,28/11/2013 00:00,4a651f8390673aef51eb5db00c4ba812a84befa9,1
sparklemotion/mechanize,Non-surviving,ERIC HODEL,14/01/2015 00:00,cd8c446106bc4d274dc743d937d5d66f12123ddc,2
sparklemotion/mechanize,Non-surviving,AARONP,11/05/2008 00:00,a3a73d89a1a7c38e2fb5103a74e8916759c1cae2,2
spinnaker/spinnaker,Surviving,DANIEL WOODS,27/01/2015 00:00,52259c872b323eecad6b758868f59cb93512f20b,1
sripathikrishnan/redis-rdb-tools,Non-surviving,SRIPATHI KRISHNAN,17/10/2013 00:00,d39c8e5127daf3e109c0f0e101af8ed0e5400493,1
stefankroes/ancestry,Non-surviving,STEFAN KROES,13/05/2015 00:00,2fa4381e0e21289d6800772d7f67d16efa65c4f8,1
stephanenicolas/robospice,Non-surviving,STEPHANE NICOLAS,06/09/2014 00:00,5f6603028c8d0a079d9c688f634455fc3472fae5,1
stevegraham/slanger,Non-surviving,STEVIE GRAHAM,13/09/2015 00:00,a7902fdedbc96484207efe208e2551f0775e002d,1
stleary/JSON-java,Non-surviving,DOUGLAS CROCKFORD,06/02/2015 00:00,9b6872b6e52e28b1b99aa328c2109436de58622f,1
streamio/streamio-ffmpeg,Non-surviving,DAVID BACKEUS,30/01/2014 00:00,1a7db769aa466bb2dbd9f7f9fe723301bfb6a590,1
stripe/stripe-php,Non-surviving,BRIAN KRAUSZ,24/02/2016 00:00,d9e003017917c1feee383e965f7ed7bbcfcc06a2,3
stripe/stripe-php,Non-surviving,CHAD GRAY,12/01/2015 00:00,e0f3dfc66a7ebc9db3aaa8c058a7db68f10f4901,3
stripe/stripe-php,Non-surviving,GREG BROCKMAN,09/04/2012 00:00,929f9474ee8f7e97cb63f40b5d0e68e0f7dfb205,3
Studio3T/robomongo,Surviving,TOPILSKI,15/11/2013 00:00,6c09bb657ff1250d9d5d9cea8210416bf244d1c1,1
stylus/stylus,Surviving,TJ HOLOWAYCHUK,04/04/2013 00:00,f8f1f69fc50f6e8f378fb6c25360da044e60482f,1
svenfuchs/rails-i18n,Non-surviving,NASH BRIDGES,19/02/2013 00:00,33ec8d215383a3ef2d2472a1c010da31a471b0bb,1
swanandp/acts_as_list,Surviving,PETER SUSCHLIK,16/11/2011 00:00,03f844f319d284b8e2f9e479992d93f2a0de12da,4
swanandp/acts_as_list,Surviving,QUINN@KUBUNTU-DESKTOP,30/05/2011 00:00,f7bdd42afde799762d2cad70b67683fee888007b,4
swanandp/acts_as_list,Surviving,PHILIPP FRANKE,27/07/2013 00:00,bdb47cef42eb09dc2965607d1e3275a5dc55ec17,4
swanandp/acts_as_list,Surviving,MICHAEL KOZIARSKI,09/10/2007 00:00,9baff190a52c05cc542bfcaa7f77a91ce669f2f8,4
swiftmailer/swiftmailer,Surviving,D11WTQ,21/06/2012 00:00,d57ffdeed664d6061cef0047e1f5d3fc3ee3fb99,1
symless/synergy,Non-surviving,NICK BOLTON,19/11/2015 00:00,85088baceba39dc7bd04bbee46e77d50e2eb49e8,3
symless/synergy,Non-surviving,CRS,22/06/2007 00:00,d1e56572d2184de5e47526c8b1add8f883d3a482,3
symless/synergy,Non-surviving,ADAM POTOLSKY,25/06/2015 00:00,9dc0a1d862c234303b6b385a77daf40017a155ed,3
teampoltergeist/poltergeist,Non-surviving,JON LEIGHTON,25/07/2013 00:00,38daa9944b6f88f11f5de3fb2e1e5e2cfdee5864,1
technicalpickles/homesick,Surviving,JOSHUA NICHOLS,09/01/2014 00:00,a657c5622e181471af5d9285b00c89a07ba57c1e,2
technicalpickles/homesick,Surviving,MURATAYUSUKE,23/11/2013 00:00,04c4a4c059c44863ca36e4e0bf62f105c914161b,2
technicalpickles/jeweler,Non-surviving,JOSH NICHOLS,18/03/2016 00:00,ac3d1f99cc28fba1588851ed1b2f613429a6eb09,1
technoweenie/restful-authentication,Non-surviving,PHILIP (FLIP) KROMER,05/09/2008 00:00,5846e652407eb26f54f85062cd4fe5cda68daf61,2
